"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 30, 2022","128.89","130.24","130.52","126.60","456.39K","-1.04%"
"Mar 29, 2022","130.24","127.64","135.80","127.23","452.12K","2.12%"
"Mar 28, 2022","127.55","133.04","137.96","126.08","583.19K","-4.19%"
"Mar 27, 2022","133.12","128.20","133.23","124.93","298.13K","3.84%"
"Mar 26, 2022","128.20","126.25","131.70","125.65","404.57K","1.54%"
"Mar 25, 2022","126.25","129.95","132.38","121.92","527.39K","-2.84%"
"Mar 24, 2022","129.95","129.59","133.92","123.62","631.46K","0.31%"
"Mar 23, 2022","129.55","130.64","138.62","126.42","876.90K","-0.78%"
"Mar 22, 2022","130.57","123.71","132.94","121.61","844.90K","5.52%"
"Mar 21, 2022","123.74","115.58","123.75","112.43","1.11M","7.11%"
"Mar 20, 2022","115.53","102.96","118.01","101.32","1.18M","12.16%"
"Mar 19, 2022","103.00","98.80","104.50","98.80","321.31K","4.25%"
"Mar 18, 2022","98.80","96.30","99.60","93.10","14.52M","2.60%"
"Mar 17, 2022","96.30","98.30","100.50","96.10","11.50M","-2.03%"
"Mar 16, 2022","98.30","95.20","99.60","94.79","14.45M","3.26%"
"Mar 15, 2022","95.20","98.30","98.40","92.90","11.67M","-3.15%"
"Mar 14, 2022","98.30","93.70","98.80","92.20","12.85M","4.91%"
"Mar 13, 2022","93.70","99.00","102.90","92.30","14.07M","-5.35%"
"Mar 12, 2022","99.00","95.00","101.10","95.00","12.35M","4.21%"
"Mar 11, 2022","95.00","104.70","104.70","94.90","23.67M","-9.27%"
"Mar 10, 2022","104.70","99.80","105.40","93.00","37.00M","4.91%"
"Mar 09, 2022","99.80","96.10","101.70","95.50","22.60M","3.85%"
"Mar 08, 2022","96.10","86.10","97.40","85.40","17.60M","11.62%"
"Mar 07, 2022","86.10","85.60","90.50","83.60","12.37M","0.58%"
"Mar 06, 2022","85.60","89.60","90.60","85.10","7.00M","-4.46%"
"Mar 05, 2022","89.60","89.50","90.40","86.90","5.75M","0.11%"
"Mar 04, 2022","89.50","96.81","97.08","87.90","11.52M","-7.52%"
"Mar 03, 2022","96.77","100.84","102.80","94.88","237.85K","-4.08%"
"Mar 02, 2022","100.89","99.96","103.63","96.91","270.27K","0.94%"
"Mar 01, 2022","99.95","100.53","102.93","96.71","270.07K","-0.58%"
"Feb 28, 2022","100.53","88.19","100.61","86.62","224.43K","14.00%"
"Feb 27, 2022","88.19","93.60","95.46","86.23","228.63K","-5.78%"
"Feb 26, 2022","93.60","92.72","95.98","91.81","90.78K","0.95%"
"Feb 25, 2022","92.72","87.77","93.93","86.77","138.04K","5.64%"
"Feb 24, 2022","87.77","88.23","90.39","77.15","589.65K","-0.47%"
"Feb 23, 2022","88.19","93.57","96.18","88.16","233.59K","-5.73%"
"Feb 22, 2022","93.55","86.94","93.84","84.47","293.34K","7.68%"
"Feb 21, 2022","86.88","97.96","101.41","86.39","547.63K","-11.28%"
"Feb 20, 2022","97.92","102.41","102.52","95.13","234.38K","-4.39%"
"Feb 19, 2022","102.41","105.28","106.68","100.05","207.00K","-2.68%"
"Feb 18, 2022","105.23","104.82","110.57","103.58","293.06K","0.39%"
"Feb 17, 2022","104.83","115.23","118.59","103.25","456.23K","-9.01%"
"Feb 16, 2022","115.21","109.30","116.05","106.17","257.67K","5.40%"
"Feb 15, 2022","109.31","103.86","109.87","103.61","163.86K","5.27%"
"Feb 14, 2022","103.84","102.03","104.72","98.70","169.59K","1.71%"
"Feb 13, 2022","102.10","104.10","105.81","100.76","170.06K","-1.79%"
"Feb 12, 2022","103.96","103.98","106.60","100.22","212.87K","-0.02%"
"Feb 11, 2022","103.98","111.68","114.47","102.71","258.76K","-7.02%"
"Feb 10, 2022","111.83","114.95","117.48","109.92","292.38K","-2.71%"
"Feb 09, 2022","114.95","112.66","118.17","110.30","216.21K","2.06%"
"Feb 08, 2022","112.63","115.94","119.40","109.48","363.41K","-2.84%"
"Feb 07, 2022","115.92","108.66","116.91","105.98","298.30K","6.68%"
"Feb 06, 2022","108.66","103.60","108.93","102.57","234.17K","4.79%"
"Feb 05, 2022","103.69","102.86","106.50","101.51","291.57K","0.76%"
"Feb 04, 2022","102.91","95.13","103.15","94.34","269.89K","8.23%"
"Feb 03, 2022","95.09","92.94","95.12","90.37","181.59K","2.25%"
"Feb 02, 2022","92.99","97.20","99.43","92.36","209.97K","-4.34%"
"Feb 01, 2022","97.20","94.21","97.55","93.77","190.84K","3.06%"
"Jan 31, 2022","94.32","92.81","94.95","88.36","285.57K","1.57%"
"Jan 30, 2022","92.86","96.38","98.11","92.01","244.58K","-3.64%"
"Jan 29, 2022","96.36","95.54","97.85","93.43","265.45K","0.80%"
"Jan 28, 2022","95.60","91.68","96.02","89.76","332.63K","4.33%"
"Jan 27, 2022","91.63","92.88","94.18","87.22","385.94K","-1.29%"
"Jan 26, 2022","92.82","89.37","99.05","88.42","482.87K","3.79%"
"Jan 25, 2022","89.43","90.33","92.33","87.85","383.32K","-1.00%"
"Jan 24, 2022","90.33","99.49","100.20","80.69","1.16M","-9.18%"
"Jan 23, 2022","99.47","97.23","100.89","93.05","477.95K","2.22%"
"Jan 22, 2022","97.31","105.88","107.55","85.37","985.38K","-8.08%"
"Jan 21, 2022","105.86","121.36","122.22","102.93","511.97K","-12.80%"
"Jan 20, 2022","121.40","126.69","133.70","120.65","216.48K","-4.18%"
"Jan 19, 2022","126.69","130.61","131.96","126.22","258.65K","-3.00%"
"Jan 18, 2022","130.61","135.78","136.91","127.36","233.54K","-3.81%"
"Jan 17, 2022","135.79","137.50","138.23","132.88","222.18K","-1.11%"
"Jan 16, 2022","137.31","141.47","142.80","136.55","180.96K","-2.95%"
"Jan 15, 2022","141.49","141.09","142.46","138.62","139.59K","0.28%"
"Jan 14, 2022","141.09","141.42","146.61","139.17","309.87K","-0.15%"
"Jan 13, 2022","141.31","143.58","144.75","137.73","298.91K","-1.45%"
"Jan 12, 2022","143.39","141.67","144.66","138.51","338.39K","1.22%"
"Jan 11, 2022","141.67","148.02","156.04","141.11","356.23K","-4.30%"
"Jan 10, 2022","148.04","153.12","154.44","140.11","616.11K","-3.26%"
"Jan 09, 2022","153.03","141.85","153.99","140.54","606.69K","7.87%"
"Jan 08, 2022","141.86","134.39","146.21","131.83","890.46K","5.74%"
"Jan 07, 2022","134.17","124.49","134.71","115.97","831.08K","7.71%"
"Jan 06, 2022","124.57","122.58","125.29","118.04","278.11K","1.58%"
"Jan 05, 2022","122.63","134.69","136.99","116.99","341.60K","-8.97%"
"Jan 04, 2022","134.72","139.22","139.84","133.76","222.75K","-3.29%"
"Jan 03, 2022","139.29","142.06","142.93","136.38","180.59K","-1.93%"
"Jan 02, 2022","142.04","138.08","143.19","136.33","148.69K","2.91%"
"Jan 01, 2022","138.02","133.75","139.39","133.60","131.31K","3.15%"